ID,Name,Stat1,Stat1 Amount,IsMultiplier?,Stat2,Stat2 Amount,IsMultiplier?,Stat3,Stat3 Amount,IsMultiplier?,Stat4,Stat4 Amount,IsMultiplier?,Stat5,Stat5 Amount,IsMultiplier?,Description
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1001,Anis,Ranged,200,TRUE,Melee,-100,TRUE,,,FALSE,,,FALSE,,3,FALSE,원거리 200% 근거리 -100%
1002,Butter,Speed,50,TRUE,Ranged,5,FALSE,,,FALSE,,,FALSE,,,FALSE,속도 50% 원거리 +5
1003,DORO,MaxHP,50,TRUE,Speed,50,TRUE,Ranged,-15,FALSE,Melee,5,FALSE,,,FALSE,최대체력50% 속도50% 근거리 +5
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
,,,,FALSE,,,FALSE,,,FALSE,,,FALSE,,,FALSE,
