Name,stat1,value1 : 2,value1 : 3,value1 : 4,value1 : 5,value1 : 6,stat2,value2 : 2,value2 : 3,value2 : 4,value2 : 5,value2 : 6,stat3,value3 : 2,value3 : 3,value3 : 4,value3 : 5,value3 : 6,,Stats
Precise,CritChance,3,6,9,12,15,,,,,,,,,,,,,,MaxHP
Blunt,Armor,1,1,2,2,3,MaxHP,0,3,3,6,6,Speed,-2,-4,-6,-8,-10,,HealthRegen
Primitive,MaxHP,3,6,9,12,15,,,,,,,,,,,,,,HealthAbsorb
Medieval,Armor,1,1,2,2,3,DodgeChance,0,3,3,6,6,,,,,,,,Armor
Blade,Melee,1,2,3,4,5,HealthAbsorb,1,2,3,4,5,,,,,,,,DodgeChance
Gun,Range,10,20,30,40,50,,,,,,,,,,,,,,Speed
Heavy,Damage,5,10,15,20,25,,,,,,,,,,,,,,Damage
Elemental,Elemental,1,2,3,4,5,,,,,,,,,,,,,,Melee
,,,,,,,,,,,,,,,,,,,,Ranged
,,,,,,,,,,,,,,,,,,,,Elemental
,,,,,,,,,,,,,,,,,,,,Engineering
,,,,,,,,,,,,,,,,,,,,Tactical
,,,,,,,,,,,,,,,,,,,,AttackSpeed
,,,,,,,,,,,,,,,,,,,,CritChance
,,,,,,,,,,,,,,,,,,,,Luck
,,,,,,,,,,,,,,,,,,,,Harvest
,,,,,,,,,,,,,,,,,,,,Range
,,,,,,,,,,,,,,,,,,,,ConsumableHeal
,,,,,,,,,,,,,,,,,,,,XPGain
,,,,,,,,,,,,,,,,,,,,ItemPrice
,,,,,,,,,,,,,,,,,,,,PickUpRange
,,,,,,,,,,,,,,,,,,,,ExplosiveDamage
,,,,,,,,,,,,,,,,,,,,ExplosiveSize
,,,,,,,,,,,,,,,,,,,,Bounces
,,,,,,,,,,,,,,,,,,,,Piercing
,,,,,,,,,,,,,,,,,,,,FreeRerolls
,,,,,,,,,,,,,,,,,,,,Enemies
,,,,,,,,,,,,,,,,,,,,EnemiesSpeed
,,,,,,,,,,,,,,,,,,,,RerollPrice
